Offering,Pricing Date,Price,Symbol,Deal Type,Bookrunner
Nuveen Churchill Direct Lending Corp,2024-01-24,$18.05,NCDL,IPO,"BofA Merrill Lynch, UBS, Morgan Stanley, Wells Fargo Securities, Keefe Bruyette & Woods, JMP Securities, Truist Securities Truist Securities"
"CG Oncology, Inc.",2024-01-24,$15.00,CGON,IPO,"Morgan Stanley, Goldman Sachs, Cantor Fitzgerald Cantor Fitzgerald"
Palmer Square Capital BDC Inc.,2024-01-17,$16.45,PSBD,IPO,"JP Morgan, BofA Merrill Lynch, RBC Capital Markets, UBS Investment Bank, Citigroup JP Morgan"
ZKH Group,2023-12-14,$15.50,ZKH,IPO,"Deutsche Bank, China Renaissance, CICC Deutsche Bank"
EyePoint Pharmaceuticals,2023-12-05,$17.00,EYPT,ADD-ON,"JP Morgan, TD Cowen, Guggenheim Securities JP Morgan"
Shimmick Corporation,2023-11-13,$7.00,SHIM,IPO,Roth Capital Roth Capital
Cargo Therapeutics,2023-11-09,$15.00,CRGX,IPO,"JP Morgan, Jefferies, TD Cowen, Truist Securities Truist Securities"
Mach Natural Resources,2023-10-24,$19.00,MNR,IPO,"Stifel, Raymond James Stifel, Nicolaus & Company"
Adlai Nortye,2023-09-28,$23.00,ANL,IPO,Cantor Fitzgerald Cantor Fitzgerald
Klaviyo,2023-09-19,$30.00,KVYO,IPO,"Goldman Sachs, Morgan Stanley, Citigroup Truist Securities"
RayzeBio,2023-09-14,$18.00,RYZB,IPO,"JP Morgan, Jefferies, Evercore ISI, Truist Securities Truist Securities"
QuantumScape,2023-08-03,$8.00,QS,IPO,"Evercore ISI, Morgan Stanley Evercore ISI"
Apogee Therapeutics,2023-07-13,$17.00,APGE,IPO,"Jefferies, TD Cowen, Stifel, Guggenheim Securities, Wedbush PacGrow Jefferies"
Kodiak Gas Services,2023-06-28,$16.00,KGS,IPO,"Goldman Sachs, JP Morgan Truist Securities"
Savers Value Village,2023-06-28,$18.00,SVV,IPO,"JP Morgan, Jefferies, Goldman Sachs, UBS KKR"
Hannon Armstrong Sustainable Infrastructure Capital,2023-05-24,$23.00,HASI,ADD-ON,"JP Morgan, BofA Merrill Lynch, Goldman Sachs Truist Securities"
Gates Industrial,2023-05-17,$11.75,GTES,ADD-ON,"Citigroup, Evercore ISI, Goldman Sachs Citigroup"
